Age,V0,V1,V2,V3
"[0,5)",0.6304,0.0176,0.352,0
"[5,10)",0.076,0.044,0.88,0
"[10,15)",0.0004,0.0476,0.952,0
"[15,20)",0,0,0.702,0.298
"[20,25)",0.0396,0.0196,0.2088,0.732
"[25,30)",0.0396,0.0196,0.2088,0.732
"[30,35)",0.0396,0.0196,0.2088,0.732
"[35,40)",0.0396,0.0196,0.2088,0.732
"[40,45)",0.0396,0.0196,0.2088,0.732
"[45,50)",0.0396,0.0196,0.2088,0.732
"[50,55)",0.0396,0.0196,0.2088,0.732
"[55,60)",0.0396,0.0196,0.2088,0.732
"[60,65)",0.069,0.033,0.157,0.741
"[65,70)",0.069,0.033,0.157,0.741
"[70,75)",0.069,0.033,0.157,0.741
"[75,Inf)",0.225,0.111,0.241,0.423
