Age,V0,V1,V2,V3
"[0,5)",0.6997,0.0143,0.286,0
"[5,10)",0.2377,0.0363,0.726,0
"[10,15)",0.0676,0.0444,0.888,0
"[15,20)",0.102225,0.027775,0.5555,0.3145
"[20,25)",0.21465,0.01135,0.227,0.547
"[25,30)",0.21465,0.01135,0.227,0.547
"[30,35)",0.21465,0.01135,0.227,0.547
"[35,40)",0.21465,0.01135,0.227,0.547
"[40,45)",0.21465,0.01135,0.227,0.547
"[45,50)",0.21465,0.01135,0.227,0.547
"[50,55)",0.21465,0.01135,0.227,0.547
"[55,60)",0.21465,0.01135,0.227,0.547
"[60,65)",0.25965,0.01435,0.287,0.439
"[65,70)",0.25965,0.01435,0.287,0.439
"[70,75)",0.52385,0.00915,0.183,0.284
"[75,Inf)",0.52385,0.00915,0.183,0.284
