Age,V0,V1,V2,V3
"[0,5)",0.6304,0.0176,0.352,0
"[5,10)",0.076,0.044,0.88,0
"[10,15)",0.0004,0.0476,0.952,0
"[15,20)",0,0,0.7107204,0.2892796
"[20,25)",0.04276513,0.02116658,0.22548887,0.71057942
"[25,30)",0.04276513,0.02116658,0.22548887,0.71057942
"[30,35)",0.04276513,0.02116658,0.22548887,0.71057942
"[35,40)",0.04276513,0.02116658,0.22548887,0.71057942
"[40,45)",0.04276513,0.02116658,0.22548887,0.71057942
"[45,50)",0.04276513,0.02116658,0.22548887,0.71057942
"[50,55)",0.04276513,0.02116658,0.22548887,0.71057942
"[55,60)",0.04276513,0.02116658,0.22548887,0.71057942
"[60,65)",0.081889976,0.033579223,0.166379633,0.718151168
"[65,70)",0.081889976,0.033579223,0.166379633,0.718151168
"[70,75)",0.197834279,0.066426108,0.232800818,0.502938794
"[75,Inf)",0.197834279,0.066426108,0.232800818,0.502938794
