Age,V0,V1,V2,V3
"[0,5)",0.6304,0.0176,0.352,0
"[5,10)",0.076,0.044,0.88,0
"[10,15)",0.0004,0.0476,0.952,0
"[15,20)",0,0,0.686,0.314
"[20,25)",0.031768657,0.015723881,0.167507463,0.785
"[25,30)",0.031768657,0.015723881,0.167507463,0.785
"[30,35)",0.031768657,0.015723881,0.167507463,0.785
"[35,40)",0.031768657,0.015723881,0.167507463,0.785
"[40,45)",0.031768657,0.015723881,0.167507463,0.785
"[45,50)",0.031768657,0.015723881,0.167507463,0.785
"[50,55)",0.031768657,0.015723881,0.167507463,0.785
"[55,60)",0.031768657,0.015723881,0.167507463,0.785
"[60,65)",0.015027313,0.007437761,0.079234925,0.8983
"[65,70)",0.015027313,0.007437761,0.079234925,0.8983
"[70,75)",0.015027313,0.007437761,0.079234925,0.8983
"[75,Inf)",0.015027313,0.007437761,0.079234925,0.8983
