Date,day.to.ddl,y,diff.y,Age,Dose
2021/4/7,-423,5.70E-06,0,12to17,Dose1
2021/4/8,-422,6.49E-06,7.92E-07,12to17,Dose1
2021/4/9,-421,7.39E-06,9.02E-07,12to17,Dose1
2021/4/10,-420,8.42E-06,1.03E-06,12to17,Dose1
2021/4/11,-419,9.59E-06,1.17E-06,12to17,Dose1
2021/4/12,-418,1.09E-05,1.33E-06,12to17,Dose1
2021/4/13,-417,1.24E-05,1.52E-06,12to17,Dose1
2021/4/14,-416,1.42E-05,1.73E-06,12to17,Dose1
2021/4/15,-415,1.61E-05,1.97E-06,12to17,Dose1
2021/4/16,-414,1.84E-05,2.24E-06,12to17,Dose1
2021/4/17,-413,2.09E-05,2.55E-06,12to17,Dose1
2021/4/18,-412,2.38E-05,2.91E-06,12to17,Dose1
2021/4/19,-411,2.71E-05,3.31E-06,12to17,Dose1
2021/4/20,-410,3.09E-05,3.77E-06,12to17,Dose1
2021/4/21,-409,3.52E-05,4.30E-06,12to17,Dose1
2021/4/22,-408,4.01E-05,4.89E-06,12to17,Dose1
2021/4/23,-407,4.57E-05,5.57E-06,12to17,Dose1
2021/4/24,-406,5.20E-05,6.35E-06,12to17,Dose1
2021/4/25,-405,5.93E-05,7.23E-06,12to17,Dose1
2021/4/26,-404,6.75E-05,8.23E-06,12to17,Dose1
2021/4/27,-403,7.69E-05,9.38E-06,12to17,Dose1
2021/4/28,-402,8.75E-05,1.07E-05,12to17,Dose1
2021/4/29,-401,9.97E-05,1.22E-05,12to17,Dose1
2021/4/30,-400,0.000113558,1.39E-05,12to17,Dose1
2021/5/1,-399,0.000129335,1.58E-05,12to17,Dose1
2021/5/2,-398,0.000147305,1.80E-05,12to17,Dose1
2021/5/3,-397,0.000167771,2.05E-05,12to17,Dose1
2021/5/4,-396,0.000191081,2.33E-05,12to17,Dose1
2021/5/5,-395,0.00021763,2.65E-05,12to17,Dose1
2021/5/6,-394,0.000247867,3.02E-05,12to17,Dose1
2021/5/7,-393,0.000282305,3.44E-05,12to17,Dose1
2021/5/8,-392,0.000321528,3.92E-05,12to17,Dose1
2021/5/9,-391,0.0003662,4.47E-05,12to17,Dose1
2021/5/10,-390,0.000417079,5.09E-05,12to17,Dose1
2021/5/11,-389,0.000475027,5.79E-05,12to17,Dose1
2021/5/12,-388,0.000541027,6.60E-05,12to17,Dose1
2021/5/13,-387,0.000616196,7.52E-05,12to17,Dose1
2021/5/14,-386,0.000701808,8.56E-05,12to17,Dose1
2021/5/15,-385,0.000799316,9.75E-05,12to17,Dose1
2021/5/16,-384,0.000910371,0.000111055,12to17,Dose1
2021/5/17,-383,0.001036855,0.000126484,12to17,Dose1
2021/5/18,-382,0.001180912,0.000144057,12to17,Dose1
2021/5/19,-381,0.001344984,0.000164072,12to17,Dose1
2021/5/20,-380,0.001531852,0.000186867,12to17,Dose1
2021/5/21,-379,0.001744681,0.00021283,12to17,Dose1
2021/5/22,-378,0.00198708,0.000242399,12to17,Dose1
2021/5/23,-377,0.002263156,0.000276076,12to17,Dose1
2021/5/24,-376,0.002577588,0.000314432,12to17,Dose1
2021/5/25,-375,0.002935703,0.000358116,12to17,Dose1
2021/5/26,-374,0.003343572,0.000407869,12to17,Dose1
2021/5/27,-373,0.003808106,0.000464533,12to17,Dose1
2021/5/28,-372,0.004337175,0.00052907,12to17,Dose1
2021/5/29,-371,0.004939747,0.000602571,12to17,Dose1
2021/5/30,-370,0.005626029,0.000686283,12to17,Dose1
2021/5/31,-369,0.006407652,0.000781622,12to17,Dose1
2021/6/1,-368,0.007297857,0.000890205,12to17,Dose1
